token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
對,6,15,3.126628452318916,2.9400235201881615,0.18660493213075435
成,4,10,2.0844189682126104,1.9600156801254411,0.12440328808716927
合,2,5,1.0422094841063052,0.9800078400627206,0.062201644043584636
子,2,5,1.0422094841063052,0.9800078400627206,0.062201644043584636
披,2,5,1.0422094841063052,0.9800078400627206,0.062201644043584636
西,2,5,1.0422094841063052,0.9800078400627206,0.062201644043584636
彥,2,5,1.0422094841063052,0.9800078400627206,0.062201644043584636
只,2,5,1.0422094841063052,0.9800078400627206,0.062201644043584636
肯,2,5,1.0422094841063052,0.9800078400627206,0.062201644043584636
顏,2,5,1.0422094841063052,0.9800078400627206,0.062201644043584636
似,2,5,1.0422094841063052,0.9800078400627206,0.062201644043584636
端,2,5,1.0422094841063052,0.9800078400627206,0.062201644043584636
道,5,13,2.6055237102657633,2.548020384163073,0.057503326102690266
開,5,13,2.6055237102657633,2.548020384163073,0.057503326102690266
杯,5,13,2.6055237102657633,2.548020384163073,0.057503326102690266
思,3,8,1.563314226159458,1.5680125441003527,-0.004698317940894814
多,4,11,2.0844189682126104,2.156017248137985,-0.07159827992537471
聲,4,11,2.0844189682126104,2.156017248137985,-0.07159827992537471
眞,4,11,2.0844189682126104,2.156017248137985,-0.07159827992537471
同,10,27,5.211047420531527,5.292042336338691,-0.08099491580716389
老,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
簡,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
聞,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
僚,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
二,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
寧,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
濟,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
空,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
膽,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
意,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
欲,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
修,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
門,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
樂,2,6,1.0422094841063052,1.1760094080752646,-0.13379992396895934
繪,3,9,1.563314226159458,1.7640141121128967,-0.2006998859534388
長,3,9,1.563314226159458,1.7640141121128967,-0.2006998859534388
入,3,9,1.563314226159458,1.7640141121128967,-0.2006998859534388
上,6,17,3.126628452318916,3.3320266562132494,-0.2053982038943336
象,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
屬,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
肅,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
逢,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
經,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
物,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
環,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
臭,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
登,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
運,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
華,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
眼,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
邊,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
儀,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
燭,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
寀,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
齊,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
若,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
存,1,4,0.5211047420531526,0.7840062720501764,-0.26290152999702376
