token,count_a,count_b,log_odds,z
罷,3,2,1.200079516463517,1.5023346203097443
酬,3,2,1.200079516463517,1.5023346203097443
元,3,2,1.200079516463517,1.5023346203097443
署,3,2,1.200079516463517,1.5023346203097443
僚,4,4,0.8863721462381582,1.4208850763474106
望,4,4,0.8863721462381582,1.4208850763474106
親,4,4,0.8863721462381582,1.4208850763474106
氣,5,6,0.7447894974153071,1.3964903708912852
新,6,9,0.5727025002611574,1.2417848549881922
書,6,9,0.5727025002611574,1.2417848549881922
司,6,9,0.5727025002611574,1.2417848549881922
眞,6,9,0.5727025002611574,1.2417848549881922
稱,3,3,0.886085041069836,1.2301239929000514
形,3,3,0.886085041069836,1.2301239929000514
密,3,3,0.886085041069836,1.2301239929000514
珍,3,3,0.886085041069836,1.2301239929000514
容,4,5,0.7128597053277321,1.2075168049065124
芳,4,5,0.7128597053277321,1.2075168049065124
群,4,6,0.5722527070521668,1.0131167739914904
要,7,13,0.41073269770503185,1.0122761898362707
飛,3,4,0.6626669513543311,0.9875090019943916
顏,3,4,0.6626669513543311,0.9875090019943916
彥,3,4,0.6626669513543311,0.9875090019943916
塵,3,4,0.6626669513543311,0.9875090019943916
披,3,4,0.6626669513543311,0.9875090019943916
似,3,4,0.6626669513543311,0.9875090019943916
玉,6,11,0.4202436295141485,0.9559518094269666
在,4,7,0.4549189812105805,0.8356364491317999
留,4,7,0.4549189812105805,0.8356364491317999
淸,15,37,0.20274861424641166,0.7824137950094701
際,3,5,0.49166212710119517,0.7730880851587187
大,3,5,0.49166212710119517,0.7730880851587187
擬,3,5,0.49166212710119517,0.7730880851587187
草,3,5,0.49166212710119517,0.7730880851587187
蒼,3,5,0.49166212710119517,0.7730880851587187
修,3,5,0.49166212710119517,0.7730880851587187
最,3,5,0.49166212710119517,0.7730880851587187
同,11,26,0.23317086487415217,0.7627836006758064
難,5,10,0.35503663600372004,0.7526386701616747
忘,5,10,0.35503663600372004,0.7526386701616747
經,2,3,0.5718036389426544,0.715819569468302
脩,2,3,0.5718036389426544,0.715819569468302
勞,2,3,0.5718036389426544,0.715819569468302
封,2,3,0.5718036389426544,0.715819569468302
院,2,3,0.5718036389426544,0.715819569468302
登,2,3,0.5718036389426544,0.715819569468302
惟,2,3,0.5718036389426544,0.715819569468302
獨,2,3,0.5718036389426544,0.715819569468302
松,2,3,0.5718036389426544,0.715819569468302
邊,2,3,0.5718036389426544,0.715819569468302
報,2,3,0.5718036389426544,0.715819569468302
載,2,3,0.5718036389426544,0.715819569468302
居,2,3,0.5718036389426544,0.715819569468302
設,2,3,0.5718036389426544,0.715819569468302
象,2,3,0.5718036389426544,0.715819569468302
趨,2,3,0.5718036389426544,0.715819569468302
箇,2,3,0.5718036389426544,0.715819569468302
拚,2,3,0.5718036389426544,0.715819569468302
孤,2,3,0.5718036389426544,0.715819569468302
晩,2,3,0.5718036389426544,0.715819569468302
朋,2,3,0.5718036389426544,0.715819569468302
會,9,21,0.24230092434059536,0.7147874677634727
當,4,8,0.3548743932860594,0.6728728652181377
入,4,8,0.3548743932860594,0.6728728652181377
長,4,8,0.3548743932860594,0.6728728652181377
臺,14,36,0.17276714143904925,0.6505152568367165
得,5,11,0.28471163433782554,0.6173483086554568
列,3,6,0.3547123003330288,0.5824588284651736
常,3,6,0.3547123003330288,0.5824588284651736
盛,3,6,0.3547123003330288,0.5824588284651736
已,3,6,0.3547123003330288,0.5824588284651736
