token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
結,1,5,0.5387931034482758,1.001602564102564,-0.4628094606542883
投,1,5,0.5387931034482758,1.001602564102564,-0.4628094606542883
將,2,8,1.0775862068965516,1.6025641025641024,-0.5249778956675508
群,2,8,1.0775862068965516,1.6025641025641024,-0.5249778956675508
圖,6,19,3.2327586206896552,3.8060897435897436,-0.5733311229000884
年,6,19,3.2327586206896552,3.8060897435897436,-0.5733311229000884
肝,3,11,1.6163793103448276,2.203525641025641,-0.5871463306808133
酒,7,22,3.771551724137931,4.407051282051282,-0.6354995579133509
莫,4,14,2.155172413793103,2.8044871794871793,-0.6493147656940761
來,4,14,2.155172413793103,2.8044871794871793,-0.6493147656940761
好,1,6,0.5387931034482758,1.201923076923077,-0.6631299734748013
能,1,6,0.5387931034482758,1.201923076923077,-0.6631299734748013
初,1,6,0.5387931034482758,1.201923076923077,-0.6631299734748013
手,1,6,0.5387931034482758,1.201923076923077,-0.6631299734748013
佩,1,6,0.5387931034482758,1.201923076923077,-0.6631299734748013
飛,1,6,0.5387931034482758,1.201923076923077,-0.6631299734748013
離,1,6,0.5387931034482758,1.201923076923077,-0.6631299734748013
辰,1,6,0.5387931034482758,1.201923076923077,-0.6631299734748013
絲,1,6,0.5387931034482758,1.201923076923077,-0.6631299734748013
塵,1,6,0.5387931034482758,1.201923076923077,-0.6631299734748013
終,1,6,0.5387931034482758,1.201923076923077,-0.6631299734748013
尺,1,6,0.5387931034482758,1.201923076923077,-0.6631299734748013
爲,5,17,2.6939655172413794,3.405448717948718,-0.7114832007073386
避,2,9,1.0775862068965516,1.8028846153846154,-0.7252984084880638
文,2,9,1.0775862068965516,1.8028846153846154,-0.7252984084880638
托,2,9,1.0775862068965516,1.8028846153846154,-0.7252984084880638
在,2,9,1.0775862068965516,1.8028846153846154,-0.7252984084880638
神,2,9,1.0775862068965516,1.8028846153846154,-0.7252984084880638
衣,3,12,1.6163793103448276,2.403846153846154,-0.7874668435013266
司,3,12,1.6163793103448276,2.403846153846154,-0.7874668435013266
堪,1,7,0.5387931034482758,1.4022435897435896,-0.8634504862953138
露,1,7,0.5387931034482758,1.4022435897435896,-0.8634504862953138
集,1,7,0.5387931034482758,1.4022435897435896,-0.8634504862953138
蒼,1,7,0.5387931034482758,1.4022435897435896,-0.8634504862953138
親,1,7,0.5387931034482758,1.4022435897435896,-0.8634504862953138
擬,1,7,0.5387931034482758,1.4022435897435896,-0.8634504862953138
重,5,18,2.6939655172413794,3.605769230769231,-0.9118037135278514
論,2,10,1.0775862068965516,2.003205128205128,-0.9256189213085766
石,2,10,1.0775862068965516,2.003205128205128,-0.9256189213085766
聯,2,10,1.0775862068965516,2.003205128205128,-0.9256189213085766
期,2,10,1.0775862068965516,2.003205128205128,-0.9256189213085766
斗,2,10,1.0775862068965516,2.003205128205128,-0.9256189213085766
面,3,13,1.6163793103448276,2.6041666666666665,-0.9877873563218389
曉,0,5,0.0,1.001602564102564,-1.001602564102564
喝,0,5,0.0,1.001602564102564,-1.001602564102564
力,0,5,0.0,1.001602564102564,-1.001602564102564
元,0,5,0.0,1.001602564102564,-1.001602564102564
勞,0,5,0.0,1.001602564102564,-1.001602564102564
帶,0,5,0.0,1.001602564102564,-1.001602564102564
設,0,5,0.0,1.001602564102564,-1.001602564102564
獨,0,5,0.0,1.001602564102564,-1.001602564102564
磨,0,5,0.0,1.001602564102564,-1.001602564102564
趨,0,5,0.0,1.001602564102564,-1.001602564102564
耐,0,5,0.0,1.001602564102564,-1.001602564102564
凌,0,5,0.0,1.001602564102564,-1.001602564102564
舌,0,5,0.0,1.001602564102564,-1.001602564102564
案,0,5,0.0,1.001602564102564,-1.001602564102564
挺,0,5,0.0,1.001602564102564,-1.001602564102564
拚,0,5,0.0,1.001602564102564,-1.001602564102564
荷,0,5,0.0,1.001602564102564,-1.001602564102564
秩,0,5,0.0,1.001602564102564,-1.001602564102564
報,0,5,0.0,1.001602564102564,-1.001602564102564
罷,0,5,0.0,1.001602564102564,-1.001602564102564
使,0,5,0.0,1.001602564102564,-1.001602564102564
殿,1,8,0.5387931034482758,1.6025641025641024,-1.0637709991158266
向,1,8,0.5387931034482758,1.6025641025641024,-1.0637709991158266
參,1,8,0.5387931034482758,1.6025641025641024,-1.0637709991158266
芳,1,8,0.5387931034482758,1.6025641025641024,-1.0637709991158266
立,2,11,1.0775862068965516,2.203525641025641,-1.1259394341290894
禁,2,11,1.0775862068965516,2.203525641025641,-1.1259394341290894
官,9,30,4.849137931034483,6.009615384615385,-1.160477453580902
賢,3,14,1.6163793103448276,2.8044871794871793,-1.1881078691423517
陰,0,6,0.0,1.201923076923077,-1.201923076923077
張,0,6,0.0,1.201923076923077,-1.201923076923077
閣,0,6,0.0,1.201923076923077,-1.201923076923077
近,0,6,0.0,1.201923076923077,-1.201923076923077
毋,0,6,0.0,1.201923076923077,-1.201923076923077
洲,0,6,0.0,1.201923076923077,-1.201923076923077
馨,0,6,0.0,1.201923076923077,-1.201923076923077
趁,0,6,0.0,1.201923076923077,-1.201923076923077
俊,0,6,0.0,1.201923076923077,-1.201923076923077
出,0,6,0.0,1.201923076923077,-1.201923076923077
故,0,6,0.0,1.201923076923077,-1.201923076923077
勤,0,6,0.0,1.201923076923077,-1.201923076923077
仍,0,6,0.0,1.201923076923077,-1.201923076923077
早,0,6,0.0,1.201923076923077,-1.201923076923077
看,4,17,2.155172413793103,3.405448717948718,-1.2502763041556149
星,1,9,0.5387931034482758,1.8028846153846154,-1.2640915119363396
鳳,1,9,0.5387931034482758,1.8028846153846154,-1.2640915119363396
切,1,9,0.5387931034482758,1.8028846153846154,-1.2640915119363396
香,1,9,0.5387931034482758,1.8028846153846154,-1.2640915119363396
光,1,9,0.5387931034482758,1.8028846153846154,-1.2640915119363396
然,1,9,0.5387931034482758,1.8028846153846154,-1.2640915119363396
綸,1,9,0.5387931034482758,1.8028846153846154,-1.2640915119363396
數,1,9,0.5387931034482758,1.8028846153846154,-1.2640915119363396
敎,0,7,0.0,1.4022435897435896,-1.4022435897435896
簿,0,7,0.0,1.4022435897435896,-1.4022435897435896
街,0,7,0.0,1.4022435897435896,-1.4022435897435896
池,0,7,0.0,1.4022435897435896,-1.4022435897435896
虎,0,7,0.0,1.4022435897435896,-1.4022435897435896
栢,0,7,0.0,1.4022435897435896,-1.4022435897435896
接,0,7,0.0,1.4022435897435896,-1.4022435897435896
湖,0,7,0.0,1.4022435897435896,-1.4022435897435896
夜,0,7,0.0,1.4022435897435896,-1.4022435897435896
餘,0,7,0.0,1.4022435897435896,-1.4022435897435896
波,0,7,0.0,1.4022435897435896,-1.4022435897435896
摠,1,10,0.5387931034482758,2.003205128205128,-1.4644120247568524
氣,1,10,0.5387931034482758,2.003205128205128,-1.4644120247568524
色,1,10,0.5387931034482758,2.003205128205128,-1.4644120247568524
府,1,10,0.5387931034482758,2.003205128205128,-1.4644120247568524
天,5,21,2.6939655172413794,4.206730769230769,-1.5127652519893897
新,2,13,1.0775862068965516,2.6041666666666665,-1.526580459770115
忘,2,13,1.0775862068965516,2.6041666666666665,-1.526580459770115
喉,0,8,0.0,1.6025641025641024,-1.6025641025641024
望,0,8,0.0,1.6025641025641024,-1.6025641025641024
柏,1,11,0.5387931034482758,2.203525641025641,-1.6647325375773652
暇,1,11,0.5387931034482758,2.203525641025641,-1.6647325375773652
閑,1,11,0.5387931034482758,2.203525641025641,-1.6647325375773652
處,1,11,0.5387931034482758,2.203525641025641,-1.6647325375773652
嚴,1,11,0.5387931034482758,2.203525641025641,-1.6647325375773652
交,1,11,0.5387931034482758,2.203525641025641,-1.6647325375773652
得,2,14,1.0775862068965516,2.8044871794871793,-1.7269009725906277
寒,2,14,1.0775862068965516,2.8044871794871793,-1.7269009725906277
職,0,9,0.0,1.8028846153846154,-1.8028846153846154
雨,0,9,0.0,1.8028846153846154,-1.8028846153846154
晨,0,9,0.0,1.8028846153846154,-1.8028846153846154
法,0,9,0.0,1.8028846153846154,-1.8028846153846154
情,0,9,0.0,1.8028846153846154,-1.8028846153846154
南,0,9,0.0,1.8028846153846154,-1.8028846153846154
龍,1,12,0.5387931034482758,2.403846153846154,-1.8650530503978784
班,1,12,0.5387931034482758,2.403846153846154,-1.8650530503978784
郞,1,12,0.5387931034482758,2.403846153846154,-1.8650530503978784
威,1,13,0.5387931034482758,2.6041666666666665,-2.0653735632183907
曾,1,13,0.5387931034482758,2.6041666666666665,-2.0653735632183907
漏,0,11,0.0,2.203525641025641,-2.203525641025641
難,1,14,0.5387931034482758,2.8044871794871793,-2.2656940760389035
舊,2,17,1.0775862068965516,3.405448717948718,-2.3278625110521665
乘,1,15,0.5387931034482758,3.0048076923076925,-2.4660145888594167
心,8,34,4.310344827586206,6.810897435897436,-2.5005526083112297
契,6,29,3.2327586206896552,5.809294871794872,-2.576536251105217
他,3,21,1.6163793103448276,4.206730769230769,-2.5903514588859418
選,3,21,1.6163793103448276,4.206730769230769,-2.5903514588859418
御,0,13,0.0,2.6041666666666665,-2.6041666666666665
