token,count_a,count_b,log_odds,z
記,8,10,0.6803357266698118,1.4885887920641434
浮,9,12,0.6204824969631124,1.4612302825247585
易,9,12,0.6204824969631124,1.4612302825247585
孰,5,5,0.8875914000850349,1.4553218230855598
野,5,5,0.8875914000850349,1.4553218230855598
觀,5,5,0.8875914000850349,1.4553218230855598
往,5,5,0.8875914000850349,1.4553218230855598
子,10,14,0.5752909845188707,1.4436414716904256
出,10,14,0.5752909845188707,1.4436414716904256
南,14,22,0.46856274968966005,1.4262249514589411
連,6,7,0.7443104248311565,1.3878986530031074
試,6,7,0.7443104248311565,1.3878986530031074
誇,6,7,0.7443104248311565,1.3878986530031074
因,6,7,0.7443104248311565,1.3878986530031074
花,16,27,0.40284517851851387,1.3303577471847121
聚,8,11,0.591880405058478,1.3231954795914986
保,8,11,0.591880405058478,1.3231954795914986
結,8,11,0.591880405058478,1.3231954795914986
筵,14,23,0.42749707306240303,1.3133339858294493
誠,9,13,0.5462749929103339,1.3093945812628445
佳,9,13,0.5462749929103339,1.3093945812628445
人,48,99,0.21932518093476272,1.305045718628742
遠,10,15,0.5113873622843306,1.3026320145220633
從,25,47,0.3037153400431851,1.2811460698674086
傳,32,63,0.26156663260739776,1.25954455161606
悠,5,6,0.7180627216578346,1.2304024929411026
皇,5,6,0.7180627216578346,1.2304024929411026
綠,5,6,0.7180627216578346,1.2304024929411026
河,5,6,0.7180627216578346,1.2304024929411026
全,5,6,0.7180627216578346,1.2304024929411026
膠,5,6,0.7180627216578346,1.2304024929411026
大,15,26,0.37809481457924576,1.2155784400401024
甲,6,8,0.6203010917426175,1.1927407161331656
惟,6,8,0.6203010917426175,1.1927407161331656
樓,6,8,0.6203010917426175,1.1927407161331656
衮,6,8,0.6203010917426175,1.1927407161331656
昔,6,8,0.6203010917426175,1.1927407161331656
喜,7,10,0.5563993069707962,1.1733537793040365
落,7,10,0.5563993069707962,1.1733537793040365
辰,11,18,0.43101444061220207,1.172764176038565
初,11,18,0.43101444061220207,1.172764176038565
波,8,12,0.5112820096302952,1.1648694654764022
後,26,51,0.2647490853355974,1.1483386515885678
行,17,31,0.331470736422534,1.1460915288696965
深,20,38,0.2938186313777216,1.1108505033392497
多,24,47,0.26618731067096757,1.1089314641637298
玉,18,34,0.29913734390658675,1.0716923769234328
良,12,21,0.369155241337781,1.063592797236501
寧,12,21,0.369155241337781,1.063592797236501
合,11,19,0.3811544205319528,1.0486390861869077
榮,10,17,0.39577811819643394,1.0348471248296272
風,55,121,0.16033243326862934,1.0336371171584817
黃,9,15,0.4139927378506716,1.0227722764372105
過,5,7,0.5750042592335971,1.0202999027323423
攀,5,7,0.5750042592335971,1.0202999027323423
曉,5,7,0.5750042592335971,1.0202999027323423
紳,5,7,0.5750042592335971,1.0202999027323423
宵,5,7,0.5750042592335971,1.0202999027323423
安,8,13,0.4373071647861728,1.0132748458091163
德,8,13,0.4373071647861728,1.0132748458091163
城,8,13,0.4373071647861728,1.0132748458091163
尙,8,13,0.4373071647861728,1.0132748458091163
下,15,28,0.3099040276637286,1.011178504847569
恩,15,28,0.3099040276637286,1.011178504847569
始,6,9,0.5111767013163604,1.008598766181722
