token,count_a,count_b,log_odds,z
堪,3,5,0.2024483307528655,0.31832916089772023
氣,4,7,0.16557139677363875,0.30413656011787865
漏,4,7,0.16557139677363875,0.30413656011787865
流,8,15,0.11384740497741408,0.3006394310210203
古,8,15,0.11384740497741408,0.3006394310210203
玉,6,11,0.1306280928782515,0.2971470665559588
官,13,26,0.06575525648892278,0.22476594396935243
朝,10,20,0.0656698229280206,0.19687664573968663
後,8,16,0.06561299049256686,0.17593943060882453
看,7,14,0.06558461116034131,0.16450508400606825
對,7,14,0.06558461116034131,0.16450508400606825
今,7,14,0.06558461116034131,0.16450508400606825
來,6,12,0.06555625637589468,0.15223626714599325
司,5,10,0.06552792610737956,0.13891200558635836
暇,4,8,0.06549962032300183,0.12419300471170323
長,4,8,0.06549962032300183,0.12419300471170323
歸,4,8,0.06549962032300183,0.12419300471170323
許,4,8,0.06549962032300183,0.12419300471170323
常,3,6,0.06547133899102597,0.1075078574127709
秋,3,6,0.06547133899102597,0.1075078574127709
向,3,6,0.06547133899102597,0.1075078574127709
法,3,6,0.06547133899102597,0.1075078574127709
盟,3,6,0.06547133899102597,0.1075078574127709
作,3,6,0.06547133899102597,0.1075078574127709
晨,3,6,0.06547133899102597,0.1075078574127709
芳,3,6,0.06547133899102597,0.1075078574127709
良,3,6,0.06547133899102597,0.1075078574127709
人,11,23,0.032679324804596455,0.1038422780543344
首,2,4,0.06544308207976623,0.0877419129349472
雪,2,4,0.06544308207976623,0.0877419129349472
勤,2,4,0.06544308207976623,0.0877419129349472
休,2,4,0.06544308207976623,0.0877419129349472
結,2,4,0.06544308207976623,0.0877419129349472
稀,2,4,0.06544308207976623,0.0877419129349472
幾,2,4,0.06544308207976623,0.0877419129349472
俊,2,4,0.06544308207976623,0.0877419129349472
識,2,4,0.06544308207976623,0.0877419129349472
早,2,4,0.06544308207976623,0.0877419129349472
形,2,4,0.06544308207976623,0.0877419129349472
圖,8,17,0.020690208971168467,0.05628327904022909
得,5,11,-0.004824295207400908,-0.010460656072837894
酒,9,20,-0.012205711753434656,-0.035592555706997805
丹,4,9,-0.021252937981627085,-0.04143839899843163
天,8,18,-0.0212923130387761,-0.058711318454060045
星,3,7,-0.04769128327836203,-0.08122696751743
尋,3,7,-0.04769128327836203,-0.08122696751743
義,3,7,-0.04769128327836203,-0.08122696751743
初,2,5,-0.09735706567611668,-0.13762647036966297
似,2,5,-0.09735706567611668,-0.13762647036966297
合,2,5,-0.09735706567611668,-0.13762647036966297
披,2,5,-0.09735706567611668,-0.13762647036966297
顏,2,5,-0.09735706567611668,-0.13762647036966297
佩,2,5,-0.09735706567611668,-0.13762647036966297
依,2,5,-0.09735706567611668,-0.13762647036966297
耿,2,5,-0.09735706567611668,-0.13762647036966297
見,2,5,-0.09735706567611668,-0.13762647036966297
能,2,5,-0.09735706567611668,-0.13762647036966297
但,2,5,-0.09735706567611668,-0.13762647036966297
生,6,15,-0.0975489181546143,-0.23884578454833266
色,3,8,-0.14332922222733036,-0.2519967035346168
在,3,8,-0.14332922222733036,-0.2519967035346168
金,8,20,-0.09764512844832485,-0.2760673667351915
醉,5,13,-0.12550925526587076,-0.2831632002176229
世,5,13,-0.12550925526587076,-0.2831632002176229
杯,5,13,-0.12550925526587076,-0.2831632002176229
共,10,25,-0.09774152886068599,-0.3089574173915456
一,16,39,-0.0797362778720272,-0.31689904460110585
空,2,6,-0.22545323952374208,-0.3329213772087039
榮,2,6,-0.22545323952374208,-0.3329213772087039
欲,2,6,-0.22545323952374208,-0.3329213772087039
取,2,6,-0.22545323952374208,-0.3329213772087039
望,2,6,-0.22545323952374208,-0.3329213772087039
親,2,6,-0.22545323952374208,-0.3329213772087039
懷,2,6,-0.22545323952374208,-0.3329213772087039
新,4,11,-0.16510372258073502,-0.3376609789504941
樽,4,11,-0.16510372258073502,-0.3376609789504941
久,4,11,-0.16510372258073502,-0.3376609789504941
聖,3,9,-0.22557732692107635,-0.40796816773668293
閑,3,9,-0.22557732692107635,-0.40796816773668293
明,7,19,-0.1561440402232721,-0.42112452157578323
恢,1,4,-0.41628589776120783,-0.4665080834236674
宜,1,4,-0.41628589776120783,-0.4665080834236674
力,1,4,-0.41628589776120783,-0.4665080834236674
幅,1,4,-0.41628589776120783,-0.4665080834236674
歡,1,4,-0.41628589776120783,-0.4665080834236674
箇,1,4,-0.41628589776120783,-0.4665080834236674
居,1,4,-0.41628589776120783,-0.4665080834236674
磨,1,4,-0.41628589776120783,-0.4665080834236674
拚,1,4,-0.41628589776120783,-0.4665080834236674
院,1,4,-0.41628589776120783,-0.4665080834236674
若,1,4,-0.41628589776120783,-0.4665080834236674
元,1,4,-0.41628589776120783,-0.4665080834236674
設,1,4,-0.41628589776120783,-0.4665080834236674
傑,1,4,-0.41628589776120783,-0.4665080834236674
外,1,4,-0.41628589776120783,-0.4665080834236674
報,1,4,-0.41628589776120783,-0.4665080834236674
屬,1,4,-0.41628589776120783,-0.4665080834236674
宇,1,4,-0.41628589776120783,-0.4665080834236674
小,1,4,-0.41628589776120783,-0.4665080834236674
覺,1,4,-0.41628589776120783,-0.4665080834236674
却,1,4,-0.41628589776120783,-0.4665080834236674
登,1,4,-0.41628589776120783,-0.4665080834236674
朋,1,4,-0.41628589776120783,-0.4665080834236674
銜,1,4,-0.41628589776120783,-0.4665080834236674
誠,1,4,-0.41628589776120783,-0.4665080834236674
脩,1,4,-0.41628589776120783,-0.4665080834236674
重,6,17,-0.1862219167029444,-0.4697931309197863
花,4,12,-0.22570155156644667,-0.47134048562171027
雨,2,7,-0.3296709348912259,-0.5054245343557897
妨,2,7,-0.3296709348912259,-0.5054245343557897
回,2,7,-0.3296709348912259,-0.5054245343557897
列,2,7,-0.3296709348912259,-0.5054245343557897
深,4,13,-0.2803921949881829,-0.5970159548188704
頭,5,16,-0.27003558050554943,-0.6404113360164735
位,1,5,-0.5536096611570667,-0.6570080685910721
少,1,5,-0.5536096611570667,-0.6570080685910721
稱,1,5,-0.5536096611570667,-0.6570080685910721
出,1,5,-0.5536096611570667,-0.6570080685910721
密,1,5,-0.5536096611570667,-0.6570080685910721
唯,1,5,-0.5536096611570667,-0.6570080685910721
國,1,5,-0.5536096611570667,-0.6570080685910721
遊,1,5,-0.5536096611570667,-0.6570080685910721
下,1,5,-0.5536096611570667,-0.6570080685910721
襟,1,5,-0.5536096611570667,-0.6570080685910721
戒,1,5,-0.5536096611570667,-0.6570080685910721
點,1,5,-0.5536096611570667,-0.6570080685910721
爭,1,5,-0.5536096611570667,-0.6570080685910721
投,1,5,-0.5536096611570667,-0.6570080685910721
千,2,8,-0.4165621411416147,-0.6601798571181106
尊,2,8,-0.4165621411416147,-0.6601798571181106
光,2,8,-0.4165621411416147,-0.6601798571181106
九,2,8,-0.4165621411416147,-0.6601798571181106
香,2,8,-0.4165621411416147,-0.6601798571181106
愧,2,8,-0.4165621411416147,-0.6601798571181106
高,6,19,-0.26305857260828613,-0.6816747837183131
曾,3,11,-0.3605400734157378,-0.684791641196231
英,4,14,-0.3300718376583083,-0.7156474512442755
事,12,35,-0.207105712606384,-0.7440576934580203
同,9,28,-0.2513879614513579,-0.794423479273795
思,2,9,-0.49038118635545835,-0.8007830900705349
傾,2,9,-0.49038118635545835,-0.8007830900705349
直,2,9,-0.49038118635545835,-0.8007830900705349
多,3,12,-0.41683875668734505,-0.8090888081486652
眞,3,12,-0.41683875668734505,-0.8090888081486652
難,3,12,-0.41683875668734505,-0.8090888081486652
會,7,23,-0.2882824339423058,-0.8141661935783803
志,1,6,-0.6580276834931347,-0.8201881939256864
尺,1,6,-0.6580276834931347,-0.8201881939256864
波,1,6,-0.6580276834931347,-0.8201881939256864
只,1,6,-0.6580276834931347,-0.8201881939256864
夜,1,6,-0.6580276834931347,-0.8201881939256864
肯,1,6,-0.6580276834931347,-0.8201881939256864
彥,1,6,-0.6580276834931347,-0.8201881939256864
餘,1,6,-0.6580276834931347,-0.8201881939256864
談,1,6,-0.6580276834931347,-0.8201881939256864
簿,1,6,-0.6580276834931347,-0.8201881939256864
離,1,6,-0.6580276834931347,-0.8201881939256864
靑,4,15,-0.37545404406289595,-0.828040541687561
白,8,26,-0.2810436594866301,-0.8462697294372206
三,2,10,-0.5540383077486766,-0.9298691393812883
猶,2,10,-0.5540383077486766,-0.9298691393812883
臣,2,10,-0.5540383077486766,-0.9298691393812883
入,2,10,-0.5540383077486766,-0.9298691393812883
君,2,10,-0.5540383077486766,-0.9298691393812883
要,4,16,-0.41711574516160255,-0.9348760930296737
士,1,7,-0.7405253048261402,-0.9638605902900245
僚,1,7,-0.7405253048261402,-0.9638605902900245
席,1,7,-0.7405253048261402,-0.9638605902900245
最,1,7,-0.7405253048261402,-0.9638605902900245
門,1,7,-0.7405253048261402,-0.9638605902900245
山,1,7,-0.7405253048261402,-0.9638605902900245
豈,1,7,-0.7405253048261402,-0.9638605902900245
字,1,7,-0.7405253048261402,-0.9638605902900245
衆,1,7,-0.7405253048261402,-0.9638605902900245
紫,3,14,-0.5129915714860775,-1.0356518896651798
身,3,14,-0.5129915714860775,-1.0356518896651798
知,5,20,-0.41739310732970836,-1.0459182711147084
方,2,11,-0.609606117928104,-1.0494170169881918
還,2,11,-0.609606117928104,-1.0494170169881918
已,1,8,-0.8075680257608564,-1.0929317421640627
六,1,8,-0.8075680257608564,-1.0929317421640627
