token,count_a,count_b,log_odds,z
脩,2,3,0.5662011015412016,0.7108861898613399
經,2,3,0.5662011015412016,0.7108861898613399
箇,2,3,0.5662011015412016,0.7108861898613399
登,2,3,0.5662011015412016,0.7108861898613399
晩,2,3,0.5662011015412016,0.7108861898613399
院,2,3,0.5662011015412016,0.7108861898613399
惟,2,3,0.5662011015412016,0.7108861898613399
拚,2,3,0.5662011015412016,0.7108861898613399
松,2,3,0.5662011015412016,0.7108861898613399
勞,2,3,0.5662011015412016,0.7108861898613399
居,2,3,0.5662011015412016,0.7108861898613399
封,2,3,0.5662011015412016,0.7108861898613399
邊,2,3,0.5662011015412016,0.7108861898613399
象,2,3,0.5662011015412016,0.7108861898613399
趨,2,3,0.5662011015412016,0.7108861898613399
報,2,3,0.5662011015412016,0.7108861898613399
載,2,3,0.5662011015412016,0.7108861898613399
朋,2,3,0.5662011015412016,0.7108861898613399
會,9,21,0.238763405355793,0.7067424345140142
長,4,8,0.35059376723753477,0.6668825668072154
入,4,8,0.35059376723753477,0.6668825668072154
當,4,8,0.35059376723753477,0.6668825668072154
臺,14,36,0.1697080372574078,0.6412565270749784
得,5,11,0.28088541206440887,0.6110708250074264
常,3,6,0.3504297844640263,0.5772671134408346
已,3,6,0.3504297844640263,0.5772671134408346
向,3,6,0.3504297844640263,0.5772671134408346
殿,3,6,0.3504297844640263,0.5772671134408346
列,3,6,0.3504297844640263,0.5772671134408346
詩,3,6,0.3504297844640263,0.5772671134408346
盛,3,6,0.3504297844640263,0.5772671134408346
紫,5,12,0.21802833440378233,0.48427483095714113
戒,2,4,0.3502659565820876,0.47111627190139244
趁,2,4,0.3502659565820876,0.47111627190139244
唯,2,4,0.3502659565820876,0.47111627190139244
偏,2,4,0.3502659565820876,0.47111627190139244
結,2,4,0.3502659565820876,0.47111627190139244
動,2,4,0.3502659565820876,0.47111627190139244
幾,2,4,0.3502659565820876,0.47111627190139244
陰,2,4,0.3502659565820876,0.47111627190139244
位,2,4,0.3502659565820876,0.47111627190139244
圖,7,18,0.16906529846896667,0.45171952797980314
數,3,7,0.23803258608476785,0.40678899138595503
尊,3,7,0.23803258608476785,0.40678899138595503
天,7,19,0.1309760004604641,0.35452489502676593
肯,2,5,0.18857127045878386,0.2675005075526867
合,2,5,0.18857127045878386,0.2675005075526867
依,2,5,0.18857127045878386,0.2675005075526867
初,2,5,0.18857127045878386,0.2675005075526867
餘,2,5,0.18857127045878386,0.2675005075526867
文,3,8,0.14308269725573464,0.25246714198827835
靑,5,14,0.10914053393449219,0.25155384242374423
久,4,11,0.1216246305275277,0.24964600586364494
他,6,18,0.06157133700726636,0.15807649230104068
傳,6,18,0.06157133700726636,0.15807649230104068
選,6,18,0.06157133700726636,0.15807649230104068
日,15,47,0.03211175450998649,0.13174104103499387
雲,4,12,0.061498335758605194,0.12891588662100106
坐,3,9,0.061461900030965744,0.11157828713547423
臣,3,9,0.061461900030965744,0.11157828713547423
猶,3,9,0.061461900030965744,0.11157828713547423
許,3,9,0.061461900030965744,0.11157828713547423
簡,2,6,0.06142550746525366,0.09104934624912964
豈,2,6,0.06142550746525366,0.09104934624912964
堪,2,6,0.06142550746525366,0.09104934624912964
門,2,6,0.06142550746525366,0.09104934624912964
欲,2,6,0.06142550746525366,0.09104934624912964
月,2,6,0.06142550746525366,0.09104934624912964
意,2,6,0.06142550746525366,0.09104934624912964
濟,2,6,0.06142550746525366,0.09104934624912964
聞,2,6,0.06142550746525366,0.09104934624912964
席,2,6,0.06142550746525366,0.09104934624912964
高,6,19,0.024770182967824184,0.06443751456724463
今,5,16,0.017687146079200744,0.04211035410010991
看,5,16,0.017687146079200744,0.04211035410010991
身,4,13,0.007251363118231602,0.01550048218211223
深,4,13,0.007251363118231602,0.01550048218211223
朝,7,23,-7.297564205632767e-05,-0.00020691271965219787
時,14,46,-7.329815769452352e-05,-0.0002939120021833549
御,3,10,-0.009678372371209498,-0.018028481695221324
方,3,10,-0.009678372371209498,-0.018028481695221324
丹,3,10,-0.009678372371209498,-0.018028481695221324
史,3,10,-0.009678372371209498,-0.018028481695221324
歲,3,10,-0.009678372371209498,-0.018028481695221324
回,2,7,-0.041954244842864696,-0.06458302137410989
妨,2,7,-0.041954244842864696,-0.06458302137410989
虛,2,7,-0.041954244842864696,-0.06458302137410989
醉,4,14,-0.04200904550439866,-0.09145348549699232
來,4,14,-0.04200904550439866,-0.09145348549699232
畫,8,28,-0.04211907750000332,-0.12967351897900434
前,3,11,-0.07238732115510427,-0.13806200370230487
春,3,11,-0.07238732115510427,-0.13806200370230487
眼,1,4,-0.12800379258203076,-0.1440704149618634
誠,1,4,-0.12800379258203076,-0.1440704149618634
却,1,4,-0.12800379258203076,-0.1440704149618634
獻,1,4,-0.12800379258203076,-0.1440704149618634
宇,1,4,-0.12800379258203076,-0.1440704149618634
至,1,4,-0.12800379258203076,-0.1440704149618634
昭,1,4,-0.12800379258203076,-0.1440704149618634
物,1,4,-0.12800379258203076,-0.1440704149618634
案,1,4,-0.12800379258203076,-0.1440704149618634
儀,1,4,-0.12800379258203076,-0.1440704149618634
傑,1,4,-0.12800379258203076,-0.1440704149618634
微,1,4,-0.12800379258203076,-0.1440704149618634
到,1,4,-0.12800379258203076,-0.1440704149618634
華,1,4,-0.12800379258203076,-0.1440704149618634
存,1,4,-0.12800379258203076,-0.1440704149618634
若,1,4,-0.12800379258203076,-0.1440704149618634
補,1,4,-0.12800379258203076,-0.1440704149618634
迹,1,4,-0.12800379258203076,-0.1440704149618634
耐,1,4,-0.12800379258203076,-0.1440704149618634
力,1,4,-0.12800379258203076,-0.1440704149618634
挺,1,4,-0.12800379258203076,-0.1440704149618634
節,1,4,-0.12800379258203076,-0.1440704149618634
肅,1,4,-0.12800379258203076,-0.1440704149618634
齊,1,4,-0.12800379258203076,-0.1440704149618634
着,1,4,-0.12800379258203076,-0.1440704149618634
幅,1,4,-0.12800379258203076,-0.1440704149618634
銜,1,4,-0.12800379258203076,-0.1440704149618634
重,5,18,-0.06052141856294746,-0.14834034466732376
上,5,18,-0.06052141856294746,-0.14834034466732376
平,4,15,-0.08699372478225165,-0.1926678329812905
行,4,15,-0.08699372478225165,-0.1926678329812905
尋,2,8,-0.12809485846608037,-0.20389128626295736
分,7,26,-0.08097093785120624,-0.23666239528616134
俊,1,5,-0.2640520327039644,-0.31488807000922847
點,1,5,-0.2640520327039644,-0.31488807000922847
首,1,5,-0.2640520327039644,-0.31488807000922847
