bigram,count,per1k,logodds_z,npmi,z_x_npmi,expected_count
契會,3,0.14323227500596802,1.2055538421428955,0.2512751766922873,0.30292575469652194,0.3238343035999002
官自,3,0.14323227500596802,1.2054909180126265,0.25022418273367475,0.3016429797525768,0.3268625862000482
日已,3,0.14323227500596802,1.2053879587295278,0.2579268017364578,0.3109018610467445,0.3053376911274053
雲會,3,0.14323227500596802,1.2049581827388074,0.26120184367833055,0.31473729888666724,0.29659844963859655
時賢,3,0.14323227500596802,1.2048644419923622,0.2617570341607544,0.31538174290167303,0.2951602527297488
淸朝,3,0.14323227500596802,1.204661886465356,0.24429064082098786,0.2942876242172419,0.3444846515423279
淸高,3,0.14323227500596802,1.204547663189079,0.26339305972235905,0.3172694945887891,0.29090410358551655
中天,3,0.14323227500596802,1.2045102420728695,0.2435921468754794,0.29340923580003364,0.34661999423001066
三年,3,0.14323227500596802,1.2034413215864073,0.26776342631897604,0.3222375716418131,0.279867840919891
會須,3,0.14323227500596802,1.203267103588341,0.26833986142563687,0.3228845278349229,0.2784412136643941
時看,3,0.14323227500596802,1.202498762060313,0.23700813536645676,0.2850019893763873,0.3674296473993466
事多,3,0.14323227500596802,1.20154226880267,0.2347051769190031,0.28200819077499106,0.3749899708774786
日江,3,0.14323227500596802,1.2008321180009116,0.23317790294216023,0.28000751506104526,0.3800990111341154
事成,3,0.14323227500596802,1.198965225833217,0.2789348647172378,0.33443320306846086,0.2535314533421736
時平,3,0.14323227500596802,1.1980414730188196,0.22810739018363374,0.27328211374207917,0.3975418951783456
風月,3,0.14323227500596802,1.1970148990344047,0.2825901361529154,0.3382646032952007,0.2454614718010464
日光,3,0.14323227500596802,1.196370705315525,0.28371570067263635,0.33942915292281034,0.2430365911218135
三十,4,0.190976366674624,1.1957708888921763,0.4205170612353831,0.5028420601077598,0.10896922803849811
年交,3,0.14323227500596802,1.1946800333967256,0.28649480700239893,0.3422696255976144,0.237116191841724
日照,3,0.14323227500596802,1.1945868805922095,0.2866504380324609,0.3424288525895879,0.2368064811212543
郞選,4,0.190976366674624,1.194445596620725,0.42121880734342226,0.5031229496451842,0.10831658092639723
日開,3,0.14323227500596802,1.1942105865759116,0.22257816279812495,0.2658051983541376,0.4174796711374705
後會,3,0.14323227500596802,1.193418136912379,0.2884485826585025,0.3442397701113264,0.2330481237288881
看畫,3,0.14323227500596802,1.1929769626458833,0.28911224535697977,0.34490424832970107,0.2316864645268231
三時,3,0.14323227500596802,1.1906419533784667,0.2182767546830339,0.25988946157291987,0.43367659251314455
名姓,6,0.28646455001193605,1.1894332316234288,0.5561645844273333,0.6615206389699043,0.0641190218371487
