bigram,count,per1k,logodds_z,npmi,z_x_npmi,expected_count
天街,7,0.334208641680592,1.1357891678300345,0.6288947052933227,0.7142917939778177,0.04554616831564932
十二,7,0.334208641680592,1.1166117520848107,0.6378409970946317,0.7122207533173593,0.04238616966196823
今時,8,0.381952733349248,1.847054839366759,0.3850707664260527,0.7112468226259075,0.3854969960667461
白髮,7,0.334208641680592,1.0670123688706146,0.6620991427995948,0.7064679747857989,0.03491959004175614
一笑,7,0.334208641680592,1.570832102353712,0.44945352960230656,0.7060160328154875,0.19141695107908702
斷金,7,0.334208641680592,1.0619203620190196,0.6646753476868689,0.7058322858407575,0.034207018058453297
忘形,7,0.334208641680592,1.0560311963127158,0.6676385263447902,0.7050471116803474,0.03339476906166595
太平,7,0.334208641680592,1.0554085429883886,0.6679721487337774,0.7049835122519392,0.03330962827931462
靑春,7,0.334208641680592,1.6253884583012805,0.4266255813515914,0.6934322959449507,0.22975433241722634
芝蘭,7,0.334208641680592,0.9672687285361001,0.7166430707456668,0.6931864318543676,0.02257150668080785
圖傳,7,0.334208641680592,1.6341382421130126,0.4228586945080594,0.6910095637056036,0.23678601173455668
精神,7,0.334208641680592,0.9494835881022631,0.7274546372821018,0.6907062391882404,0.02069425626018319
作畫,7,0.334208641680592,1.637160895302846,0.4215503944863856,0.6901458212525989,0.23928149696500772
咫尺,7,0.334208641680592,0.7302461901323497,0.9411675286582676,0.687284002078979,0.0037453074167020446
依然,7,0.334208641680592,0.898609040223561,0.7612065769769221,0.6840271115490941,0.015796139683866225
遴選,7,0.334208641680592,0.8917141498814903,0.7662384587664621,0.6832656758654392,0.015182948056269642
北斗,7,0.334208641680592,0.8768123841280302,0.7772209792440571,0.681476979805304,0.01389663992987449
終始,7,0.334208641680592,0.870445568868894,0.7821212743859012,0.6807939976073001,0.013362952586842919
鵝卵,6,0.28646455001193605,0.6726721930186795,1.0083497508918744,0.6782888382622764,0.0016064048356805843
絲綸,7,0.334208641680592,0.7916199073370184,0.8545646729629539,0.676490407224423,0.007485272026818208
風雲,8,0.381952733349248,1.9118246398181378,0.3490663550584104,0.6673536585321757,0.5117566230848875
當時,7,0.334208641680592,1.7054596615065032,0.3903316813936497,0.665694937224878,0.30720515184134844
地望,6,0.28646455001193605,1.2690757528498895,0.5212839990816349,0.6615488835831269,0.08520605002912753
名姓,6,0.28646455001193605,1.1894332316234288,0.5561645844273333,0.6615206389699043,0.0641190218371487
人物,6,0.28646455001193605,1.275895671900097,0.518372809615839,0.6613896242195418,0.0872669316144751
義分,6,0.28646455001193605,1.1817131811452155,0.5596177882658137,0.6613077167970443,0.06233403198555284
淸切,6,0.28646455001193605,1.177039206174454,0.5617373908704513,0.6611869326286649,0.0612731837706107
勝迹,6,0.28646455001193605,1.1747504651639051,0.5627511989870622,0.6610922327815966,0.060759075840942166
結契,6,0.28646455001193605,1.172908713728233,0.5635924419045186,0.6610424861011829,0.06034790816031861
華筵,6,0.28646455001193605,1.1140630171797299,0.5908249873413045,0.6582162680226294,0.048319918542077955
分曹,6,0.28646455001193605,1.3419865544114724,0.49018867427668655,0.6578266100040981,0.10980402302643076
深情,6,0.28646455001193605,1.3473876268566802,0.4878912458280299,0.6573786278803784,0.11187647426512921
後人,7,0.334208641680592,1.7276967362972198,0.3791860994284013,0.655118586431722,0.335853393484794
星辰,6,0.28646455001193605,1.0477457997430366,0.6235064052694395,0.6532762172339347,0.03701458727159991
淸班,6,0.28646455001193605,1.3910488185545038,0.46933956866627974,0.6528742524941088,0.13016245971508242
寒盟,6,0.28646455001193605,1.0378292868115897,0.6286251285746514,0.6524055688604743,0.03550163260263882
西湖,6,0.28646455001193605,1.0366379876198855,0.6292416292692425,0.6522957762923256,0.035322747962367534
朝廷,6,0.28646455001193605,1.0327254907258991,0.6313193168009037,0.6519795512479527,0.03473951877037195
幾回,6,0.28646455001193605,1.0298418425642704,0.6327949397933396,0.6516787067621194,0.034313814858615246
妙選,6,0.28646455001193605,1.0173533441969382,0.6394402081994319,0.6505366342256785,0.032510135566991054
虎頭,6,0.28646455001193605,1.0141730105120896,0.6411310023124122,0.6502177587478125,0.03206099569075437
烏臺,6,0.28646455001193605,0.9979955819325623,0.6499535592199606,0.6486507805628646,0.02983843561627271
回首,6,0.28646455001193605,0.993728835668755,0.652293190228046,0.6482025524399739,0.029269149339853823
拚勝,6,0.28646455001193605,0.9716525177948127,0.6648497237800635,0.6460029080660844,0.026431914348884443
畫傳,7,0.334208641680592,1.7445647315868837,0.3702316479644121,0.6458930755560043,0.36080201597596234
鐵石,6,0.28646455001193605,0.952958589383258,0.6757914052263834,0.6440012242418639,0.024165448923225086
彷彿,4,0.190976366674624,0.6079818666710243,1.0553032287912523,0.6416052269444645,0.0004770286739678663
邂逅,4,0.190976366674624,0.6079818666710243,1.0553032287912523,0.6416052269444645,0.0004770286739678663
寒心,6,0.28646455001193605,1.4655227937534854,0.4371315041466449,0.6406261831946544,0.16926403148993616
鐵面,6,0.28646455001193605,0.9180784688297533,0.6974796828501961,0.64034107927097,0.020247786303950556
紫薇,6,0.28646455001193605,0.9152892296178655,0.6992903602291863,0.6400529350933716,0.019951128525722887
三生,6,0.28646455001193605,1.4716660033936089,0.4344111566163567,0.6393081306871887,0.17305620786902046
事少,6,0.28646455001193605,1.473676147654815,0.43353153786692344,0.6388850866105953,0.1743193766887138
千年,6,0.28646455001193605,1.4806935299190835,0.4303998959986931,0.6372903412831114,0.17881848855331456
平反,6,0.28646455001193605,0.8724797858659048,0.7288521570195533,0.6359087738843227,0.015685486332587303
淸遊,6,0.28646455001193605,1.4881282562177232,0.4270688047019979,0.6355331556261714,0.1837430076718938
契深,6,0.28646455001193605,1.4887386073051285,0.426791964962431,0.6353816755271887,0.1841547686680738
衮衮,6,0.28646455001193605,0.7462048580864771,0.850327308593597,0.634518368636141,0.005822801837630375
應須,6,0.28646455001193605,1.4948838668113336,0.4240187943689326,0.6338588549269096,0.18836612248779375
莫逆,6,0.28646455001193605,0.8467658214491295,0.7484465114417185,0.6337589250716821,0.013367105795738105
列宿,6,0.28646455001193605,0.8237459028648165,0.767569610459738,0.6322823217797524,0.011434973686141329
尙齒,6,0.28646455001193605,0.7711314605919998,0.8195210277159696,0.6319584470884724,0.007485568684596435
肺肝,6,0.28646455001193605,0.8155946470255991,0.7747823160058774,0.6319083095444898,0.010781733258484012
紫宸,6,0.28646455001193605,0.811443781033378,0.7785543253029278,0.6317530654636982,0.010455113044655353
紛紛,6,0.28646455001193605,0.786611520577411,0.8027277755634973,0.6314349161457253,0.008583499121817021
當年,6,0.28646455001193605,1.5086420301915155,0.41775150734329536,0.6302374821539549,0.19825105631611772
搢紳,5,0.23872045834328,0.6562911030778001,0.9518133381484183,0.6246666256175887,0.001784992818173638
須知,6,0.28646455001193605,1.5340541094160272,0.40588665167515076,0.6226520859593766,0.21839115287999386
天上,6,0.28646455001193605,1.5484733267553423,0.3989578851888782,0.6177756437136982,0.23109166568147663
春風,7,0.334208641680592,1.7915313076525923,0.3414345091569869,0.6116906126677377,0.4543204139844512
蓬萊,5,0.23872045834328,0.6697808633544442,0.9100510337785527,0.6095347671008035,0.0025281205526339373
寮寀,5,0.23872045834328,0.6723850683710443,0.9031976855215004,0.607296637531943,0.0026755594684130866
慇懃,3,0.14323227500596802,0.5746771071568378,1.0535057290422032,0.6054256247391288,0.00026877491365204605
縹緲,3,0.14323227500596802,0.5746771071568378,1.0535057290422032,0.6054256247391288,0.00026877491365204605
悠悠,5,0.23872045834328,0.6881449823124846,0.867709296685025,0.5971097986196949,0.0035960885542535284
白雲,6,0.28646455001193605,1.5984927910460645,0.37326552567503823,0.5966622519375683,0.2849682781009592
第一,5,0.23872045834328,1.0826956975263544,0.5494575147387288,0.5948952871811451,0.05109129550628081
文簿,5,0.23872045834328,1.0865507862551849,0.547452782179889,0.5948352509151469,0.051910960947523836
雀鼠,4,0.190976366674624,0.6191477789956978,0.9606055711410738,0.5947568058628897,0.0010715308615361057
勝集,5,0.23872045834328,1.07843265837847,0.551496337020519,0.594751660819027,0.0501968723049244
翻覆,5,0.23872045834328,0.6935417794815723,0.8572765497143802,0.5945571037967338,0.003922708768082187
向來,5,0.23872045834328,1.066065183394735,0.5576800433206345,0.5945232776581959,0.0476714246388723
把酒,5,0.23872045834328,1.1469230412950033,0.5182682046026835,0.5944137454294108,0.06621995222255701
共把,5,0.23872045834328,1.171862113843285,0.5065037802258638,0.5935525905650955,0.07304604769957555
隨處,5,0.23872045834328,1.004955312589903,0.5894667150836599,0.5923877069182426,0.036569600604258415
杯觴,5,0.23872045834328,1.0009725878828883,0.5916271510542459,0.592202560452549,0.035918436781048696
莫敎,5,0.23872045834328,0.9802120055182906,0.6030549323861479,0.5911216847119232,0.032653717931653246
八仙,5,0.23872045834328,0.9786504496835078,0.6039301257055449,0.591036489099149,0.03241668836684934
交遊,5,0.23872045834328,1.216534338869006,0.4856707709643718,0.5908351702631425,0.0868937361294647
交道,5,0.23872045834328,1.216534338869006,0.4856707709643718,0.5908351702631425,0.0868937361294647
盍簪,5,0.23872045834328,0.70407040274759,0.838793736390068,0.590569843802311,0.004577135826852415
朝家,5,0.23872045834328,1.220229874965874,0.4839630988297654,0.5905462315731416,0.08814385200691607
蘭室,5,0.23872045834328,0.9576264667894414,0.6159302277059587,0.5898310877468734,0.029336193997733278
靑霄,5,0.23872045834328,0.9557603677557519,0.6170274479419798,0.5897303805604197,0.029072465232888884
圖繪,5,0.23872045834328,1.2319835276116877,0.47851749975925634,0.5895256773773335,0.09223713603090139
許國,5,0.23872045834328,0.9510136707191503,0.619752586892553,0.5893931825983759,0.02840854512521537
京兆,4,0.190976366674624,0.6213269608738028,0.948301930405914,0.589205556409867,0.001190490630605399
膠漆,5,0.23872045834328,0.7091717652669394,0.8305214253900092,0.5889823453358475,0.004902569409568162
天地,6,0.28646455001193605,1.6130419812821903,0.36509457231816794,0.5889128722874716,0.30460969293963464
胸中,5,0.23872045834328,0.9366925739945914,0.6283205847314906,0.5885432258059267,0.026464250046711258
懼某,3,0.14323227500596802,0.5762821095356704,1.0210031105091386,0.5883858263666876,0.000358068904898573
杯盤,5,0.23872045834328,0.9341414300577943,0.6298100567105189,0.5883316670403447,0.026126950152866407
傳盛,5,0.23872045834328,1.2638551096183093,0.46376247743529925,0.5861285767558488,0.10431437084032784
