PC1,PC2,office
-0.03702681985444109,-0.12082410208871612,승정원
0.07767110182171875,-0.006647156763626848,사헌부
0.1226689960024534,-0.0602600205963925,사헌부
-0.06667506004528376,0.07207830093084597,사간원
-0.030259802772003574,-0.010351394490578017,의금부
-0.04001156045400282,-0.12118912932246195,사헌부
0.02739010862632435,-0.18984973857673082,사헌부
-0.03664364064220139,-0.07627139958537951,승정원
-0.053587177836923246,-0.15588927334475844,승정원
0.2168227209204111,-0.11691859740168255,사헌부
0.2332648088216962,-0.03336653972864676,사헌부
0.07222835019894655,-0.22225128773106878,사헌부
-0.025622753886789057,-0.10132333133425575,사헌부
0.04733122147516125,-0.1324557790813631,사헌부
0.018507933491720772,-0.1655493345785867,승정원
0.00017204053463744438,-0.16155317417314893,사헌부
0.0834982725004204,-0.14630752009889633,사헌부
0.006674997210527345,-0.09359339740648073,사헌부
-0.0368057909341159,0.22349826574926598,사간원
